Name,INN,City,Region,Address,Website,Email,Category,OKVED
ПАО Татнефть,1644003838,Альметьевск,Татарстан,"ул Ленина, 75",tatneft.ru,tatneft@tatneft.ru,Нефтегаз,06.10
ООО IT-аутсорсинг Астрахань,7800032007,Астрахань,Россия,"г Астрахань, ул Центральная, 8",https://it-астрахань.ru,info@астрахань-it.ru,IT-аутсорсинг,62.01
ООО Мajor Auto,7701320000,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 1",major-auto.ru,info@major-auto.ru,Автодилеры,45.11
ООО Автомир,7701320001,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 2",avtomir.ru,info@avtomir.ru,Автодилеры,45.11
ООО Авилон,7701320002,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 3",avilon.ru,info@avilon.ru,Автодилеры,45.11
ООО Рольф,7701320003,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 4",rolf.ru,info@rolf.ru,Автодилеры,45.11
ООО Независимость,7701320004,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 5",independence.ru,info@independence.ru,Автодилеры,45.11
ООО Автоспеццентр,7701320005,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 6",autosc.ru,info@autosc.ru,Автодилеры,45.11
ООО Восток Моторс,7701320006,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 7",vostok-motors.ru,info@vostok-motors.ru,Автодилеры,45.11
ООО АвтоГЕРМЕС,7701320007,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 8",autohermes.ru,info@autohermes.ru,Автодилеры,45.11
ООО Максимум,7701320008,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 9",maximum-motors.ru,info@maximum-motors.ru,Автодилеры,45.11
ООО АвтоВладение,7701320009,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 10",autovl.ru,info@autovl.ru,Автодилеры,45.11
ООО Премьер Авто,7701320010,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 11",premierauto.ru,info@premierauto.ru,Автодилеры,45.11
ООО Тойота Центр,7701320011,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 12",toyota.ru,info@toyota.ru,Автодилеры,45.11
ООО БМВ Русланд,7701320012,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 13",bmw.ru,info@bmw.ru,Автодилеры,45.11
ООО Мерседес-Бенц,7701320013,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 14",mercedes-benz.ru,info@mercedes-benz.ru,Автодилеры,45.11
ООО Ауди Рус,7701320014,Астрахань,Астраханская область,"г Астрахань, ул Примерная, 15",audi.ru,info@audi.ru,Автодилеры,45.11
ООО Автосервис Астрахань,7800032002,Астрахань,Россия,"г Астрахань, ул Центральная, 3",https://autoservice-астрахань.ru,info@астрахань-auto.ru,Автосервис,45.20
ООО Алкоголь оптом Астрахань,7900032026,Астрахань,Россия,"г Астрахань, ул Промышленная, 27",https://alco-астрахань.ru,alco@астрахань-alco.ru,Алкоголь оптом,46.34
ООО Аптека Астрахань,7800032003,Астрахань,Россия,"г Астрахань, ул Центральная, 4",https://pharmacy-астрахань.ru,info@астрахань-pharmacy.ru,Аптека,47.73
ООО Аренда авто Астрахань,7800032014,Астрахань,Россия,"г Астрахань, ул Центральная, 15",https://rentcar-астрахань.ru,info@астрахань-rentcar.ru,Аренда авто,77.11
ООО Аттестация рабочих мест Астрахань,7900032015,Астрахань,Россия,"г Астрахань, ул Промышленная, 16",https://attest-астрахань.ru,attest@астрахань-att.ru,Аттестация рабочих мест,71.12
