Name,Address,City,Phone,Website,Email,Category,Source
"""Парикмахерская Волгоград""","Волгоград, ул. Промышленная, д. 99",Волгоград,+7 (901) 267-35-23,https://parikmaherskaya-volgograd919.ru,director@volgograd-parikmaherskaya.ru,парикмахерская,generated_v2
"ЗАО Парикмахерская ""Волгоград Групп""","Волгоград, ул. Ленина, д. 80",Волгоград,+7 (955) 332-36-96,https://parikmaherskaya-volgograd626.ru,booking@parikmaherskaya-group.ru,парикмахерская,generated_v2
"Парикмахерская ""Волгоград Групп""","Волгоград, ул. Набережная, д. 60",Волгоград,+7 (942) 389-40-82,https://parikmaherskaya-volgograd730.ru,support@parikmaherskaya-volgograd.ru,парикмахерская,generated_v2
"ООО ""Волгоград Парикмахерская""","Волгоград, ул. Центральная, д. 101",Волгоград,+7 (964) 359-60-98,https://parikmaherskaya-volgograd810.ru,manager@parikmaherskaya-service.ru,парикмахерская,generated_v2
"Парикмахерская ""Волгоград Групп""","Волгоград, ул. Колхозная, д. 37",Волгоград,+7 (942) 955-20-20,https://parikmaherskaya-volgograd419.ru,manager@parikmaherskaya-volgograd.ru,парикмахерская,generated_v2
"""Волгоград Парикмахерская""","Волгоград, ул. Горького, д. 147",Волгоград,+7 (905) 647-94-71,https://parikmaherskaya-volgograd909.ru,zakaz@parikmaherskaya-volgograd446.ru,парикмахерская,generated_v2
"ИП ""Волгоград Парикмахерская""","Волгоград, ул. Партизанская, д. 4",Волгоград,+7 (979) 669-70-40,https://parikmaherskaya-volgograd918.ru,hello@parikmaherskaya-service.ru,парикмахерская,generated_v2
"Парикмахерская ""Волгоград ""","Волгоград, ул. Школьная, д. 52",Волгоград,+7 (912) 859-64-31,https://parikmaherskaya-volgograd270.ru,office@parikmaherskaya92.ru,парикмахерская,generated_v2
"Парикмахерская ""Волгоград ""","Волгоград, ул. Горького, д. 13",Волгоград,+7 (983) 386-27-38,https://parikmaherskaya-volgograd27.ru,mail@parikmaherskaya-volgograd.ru,парикмахерская,generated_v2
"ООО ""Волгоград Парикмахерская""","Волгоград, ул. Октябрьская, д. 40",Волгоград,+7 (930) 985-38-20,,office@parikmaherskaya-volgograd.ru,парикмахерская,generated_v2
"ПАО ""Волгоград Парикмахерская""","Волгоград, ул. Садовая, д. 147",Волгоград,+7 (952) 335-12-94,https://parikmaherskaya-volgograd794.ru,support@parikmaherskaya-volgograd.ru,парикмахерская,generated_v2
"ЗАО Парикмахерская ""Волгоград Стандарт""","Волгоград, ул. Коммунистическая, д. 1",Волгоград,+7 (952) 719-70-37,https://parikmaherskaya-volgograd37.ru,zakaz@parikmaherskaya-volgograd.ru,парикмахерская,generated_v2
"ООО ""Парикмахерская Волгоград""","Волгоград, ул. Кирова, д. 28",Волгоград,+7 (900) 469-21-15,,sales@parikmaherskaya-volgograd.ru,парикмахерская,generated_v2
"Парикмахерская ""Волгоград Сервис""","Волгоград, ул. Коммунистическая, д. 30",Волгоград,+7 (962) 484-45-60,https://parikmaherskaya-volgograd813.ru,info@volgograd-parikmaherskaya.ru,парикмахерская,generated_v2
"ИП ""Волгоград Парикмахерская""","Волгоград, ул. Кирова, д. 150",Волгоград,+7 (995) 223-21-19,,contact@parikmaherskaya-group.ru,парикмахерская,generated_v2
"ЗАО ""Волгоград Парикмахерская""","Волгоград, ул. Школьная, д. 119",Волгоград,+7 (997) 852-96-44,,zakaz@parikmaherskaya-volgograd436.ru,парикмахерская,generated_v2
"ЗАО ""Волгоград Парикмахерская""","Волгоград, ул. Центральная, д. 68",Волгоград,+7 (932) 592-58-96,https://parikmaherskaya-volgograd891.ru,contact@parikmaherskaya-volgograd389.ru,парикмахерская,generated_v2
"ЗАО ""Волгоград Парикмахерская""","Волгоград, ул. Торговая, д. 17",Волгоград,+7 (950) 849-26-86,,zakaz@parikmaherskaya-group.ru,парикмахерская,generated_v2
"ПАО Парикмахерская ""Волгоград Профи""","Волгоград, ул. Центральная, д. 54",Волгоград,+7 (950) 935-33-55,https://parikmaherskaya-volgograd156.ru,sales@parikmaherskaya-service.ru,парикмахерская,generated_v2
"Парикмахерская ""Волгоград Групп""","Волгоград, ул. Коммунистическая, д. 20",Волгоград,+7 (980) 250-58-31,,booking@parikmaherskaya-service.ru,парикмахерская,generated_v2
"АО ""Волгоград Парикмахерская""","Волгоград, ул. Заводская, д. 103",Волгоград,+7 (922) 780-31-98,https://parikmaherskaya-volgograd413.ru,booking@parikmaherskaya-service.ru,парикмахерская,generated_v2
"ИП ""Волгоград Парикмахерская""","Волгоград, ул. Спортивная, д. 14",Волгоград,+7 (928) 602-24-85,https://parikmaherskaya-volgograd228.ru,support@parikmaherskaya111.ru,парикмахерская,generated_v2
"ЗАО ""Волгоград Парикмахерская""","Волгоград, ул. Гагарина, д. 47",Волгоград,+7 (947) 436-18-61,https://parikmaherskaya-volgograd392.ru,manager@parikmaherskaya-volgograd.ru,парикмахерская,generated_v2
"ЗАО ""Волгоград Парикмахерская""","Волгоград, ул. Промышленная, д. 101",Волгоград,+7 (977) 929-38-58,https://parikmaherskaya-volgograd896.ru,admin@parikmaherskaya-service.ru,парикмахерская,generated_v2
"Парикмахерская ""Волгоград Премиум""","Волгоград, ул. Торговая, д. 114",Волгоград,+7 (909) 344-48-83,,director@parikmaherskaya-group.ru,парикмахерская,generated_v2
