Name,Address,City,Phone,Website,Email,Source,Created
"Магазин ""Пример 4""","ул. Примерная, д. 4",Екатеринбург,+7 (999) 386-52-24,https://example4.ru,info@example4.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 5""","ул. Примерная, д. 24",Москва,+7 (994) 789-31-77,,info@example5.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 9""","ул. Примерная, д. 5",Санкт-Петербург,+7 (942) 216-88-51,https://example9.ru,info@example9.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 12""","ул. Примерная, д. 78",Новосибирск,+7 (936) 980-90-37,,info@example12.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 14""","ул. Примерная, д. 67",Екатеринбург,+7 (974) 236-34-29,https://example14.ru,info@example14.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 17""","ул. Примерная, д. 58",Екатеринбург,+7 (966) 845-10-39,https://example17.ru,info@example17.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 18""","ул. Примерная, д. 21",Санкт-Петербург,+7 (936) 887-49-38,https://example18.ru,info@example18.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 20""","ул. Примерная, д. 54",Санкт-Петербург,+7 (989) 471-28-22,,info@example20.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 21""","ул. Примерная, д. 58",Казань,+7 (932) 657-45-70,https://example21.ru,info@example21.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 24""","ул. Примерная, д. 34",Казань,+7 (981) 842-93-19,https://example24.ru,info@example24.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 25""","ул. Примерная, д. 39",Новосибирск,+7 (961) 583-36-95,,info@example25.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 26""","ул. Примерная, д. 90",Казань,+7 (958) 196-24-92,https://example26.ru,info@example26.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 27""","ул. Примерная, д. 98",Санкт-Петербург,+7 (959) 330-27-83,,info@example27.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 29""","ул. Примерная, д. 5",Санкт-Петербург,+7 (990) 202-84-78,https://example29.ru,info@example29.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 33""","ул. Примерная, д. 36",Казань,+7 (916) 226-51-81,https://example33.ru,info@example33.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 34""","ул. Примерная, д. 96",Екатеринбург,+7 (995) 553-63-44,https://example34.ru,info@example34.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 37""","ул. Примерная, д. 56",Казань,+7 (992) 560-97-10,,info@example37.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 39""","ул. Примерная, д. 97",Казань,+7 (981) 448-74-41,https://example39.ru,info@example39.ru,generated,2026-03-27 21:13:23
"Кафе ""Пример 43""","ул. Примерная, д. 27",Екатеринбург,+7 (927) 191-84-38,https://example43.ru,info@example43.ru,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 44""","ул. Примерная, д. 13",Москва,+7 (980) 826-79-81,https://example44.ru,info@example44.ru,generated,2026-03-27 21:13:23
"Салон красоты ""Пример 46""","ул. Примерная, д. 69",Казань,+7 (983) 735-25-23,,info@example46.ru,generated,2026-03-27 21:13:23
"Автосервис ""Пример 48""","ул. Примерная, д. 14",Новосибирск,+7 (931) 308-25-15,https://example48.ru,info@example48.ru,generated,2026-03-27 21:13:23
"Ресторан ""Пример 49""","ул. Примерная, д. 95",Екатеринбург,+7 (913) 982-84-58,https://example49.ru,info@example49.ru,generated,2026-03-27 21:13:23
"Магазин ""Пример 50""","ул. Примерная, д. 66",Санкт-Петербург,+7 (924) 271-18-60,,info@example50.ru,generated,2026-03-27 21:13:23
