Name,Address,City,Phone,Website,Email,Category,Source
"ПАО Сто ""Барнаул ""","Барнаул, ул. Советская, д. 129",Барнаул,+7 (944) 343-55-25,https://СТО280-бар.ru,info@СТО58.ru,СТО,generated
"АО Сто ""Барнаул Центр""","Барнаул, ул. Набережная, д. 140",Барнаул,+7 (930) 388-90-19,,info@СТО59.ru,СТО,generated
"АО Сто ""Барнаул ""","Барнаул, ул. Колхозная, д. 78",Барнаул,+7 (909) 245-15-69,https://СТО199-бар.ru,info@СТО51.ru,СТО,generated
"Сто ""Барнаул ""","Барнаул, ул. Советская, д. 88",Барнаул,+7 (943) 132-81-21,https://СТО974-бар.ru,info@СТО36.ru,СТО,generated
"ИП Сто ""Барнаул Плюс""","Барнаул, ул. Молодёжная, д. 48",Барнаул,+7 (939) 642-15-27,https://СТО167-бар.ru,info@СТО94.ru,СТО,generated
"ИП Сто ""Барнаул Профи""","Барнаул, ул. Садовая, д. 52",Барнаул,+7 (961) 729-21-10,https://СТО668-бар.ru,info@СТО72.ru,СТО,generated
"ООО Сто ""Барнаул Плюс""","Барнаул, ул. Ленина, д. 124",Барнаул,+7 (938) 882-30-57,https://СТО748-бар.ru,info@СТО36.ru,СТО,generated
"Сто ""Барнаул ""","Барнаул, ул. Лесная, д. 117",Барнаул,+7 (946) 482-69-73,https://СТО530-бар.ru,info@СТО94.ru,СТО,generated
"Сто ""Барнаул Профи""","Барнаул, ул. Колхозная, д. 139",Барнаул,+7 (989) 403-26-81,,info@СТО73.ru,СТО,generated
"ПАО Сто ""Барнаул ""","Барнаул, ул. Пушкина, д. 103",Барнаул,+7 (933) 749-89-94,https://СТО146-бар.ru,info@СТО95.ru,СТО,generated
"АО Сто ""Барнаул Сервис""","Барнаул, ул. Торговая, д. 57",Барнаул,+7 (978) 721-58-42,https://СТО744-бар.ru,info@СТО29.ru,СТО,generated
"ИП Сто ""Барнаул Групп""","Барнаул, ул. Советская, д. 12",Барнаул,+7 (923) 562-28-73,,info@СТО83.ru,СТО,generated
"ООО Сто ""Барнаул Центр""","Барнаул, ул. Мира, д. 85",Барнаул,+7 (980) 392-47-81,https://СТО458-бар.ru,info@СТО70.ru,СТО,generated
"ПАО Сто ""Барнаул Центр""","Барнаул, ул. Набережная, д. 6",Барнаул,+7 (919) 854-69-27,,info@СТО73.ru,СТО,generated
"ЗАО Сто ""Барнаул Центр""","Барнаул, ул. Красная, д. 15",Барнаул,+7 (974) 126-89-38,,info@СТО19.ru,СТО,generated
